decimalLatitude,decimalLongitude,year,stateProvince
-30.499392,150.258472,2024.0,New South Wales
-33.3,151.4,2024.0,New South Wales
-34.70867,150.45764,2013.0,New South Wales
-32.43187,150.46285,2012.0,New South Wales
-33.3,149.4,2016.0,New South Wales
-33.366653,150.159187,2017.0,New South Wales
-28.65953,152.49099,2012.0,New South Wales
-30.0666,152.36635,2012.0,New South Wales
-32.43805,150.46877,2012.0,New South Wales
-35.383366,149.201235,2022.0,New South Wales
-31.165173,152.365492,2022.0,New South Wales
-34.2133,150.01112,2014.0,New South Wales
-30.636452,149.21108,2016.0,New South Wales
-37.166256,149.410588,2023.0,New South Wales
-33.773787,150.903488,2021.0,New South Wales
-34.41738,150.595316,2014.0,New South Wales
-32.181265,149.763049,2013.0,New South Wales
-33.807828,150.973148,2024.0,New South Wales
-35.414395,149.245814,1992.0,New South Wales
-33.895,151.031661,2008.0,New South Wales
-34.327539,149.811047,2015.0,New South Wales
-35.367103,150.476121,2023.0,New South Wales
-33.612045,150.844391,2023.0,New South Wales
-32.256252,150.898193,2018.0,New South Wales
-31.431743,152.659435,2004.0,New South Wales
-28.647217,152.454157,2003.0,New South Wales
-33.0,149.6,2021.0,New South Wales
-35.0746,150.21181,2012.0,New South Wales
-36.009068,148.338728,2019.0,New South Wales
-29.61533,152.26171,2015.0,New South Wales
-31.61171,152.41547,2013.0,New South Wales
-31.01885,152.340231,2021.0,New South Wales
-34.394134,150.579102,2014.0,New South Wales
-33.384939,151.269158,,New South Wales
-34.460098,150.619429,2014.0,New South Wales
-37.171223,149.364022,2023.0,New South Wales
-33.143815,151.250887,2008.0,New South Wales
-31.06048,152.8482,2015.0,New South Wales
-34.703142,150.732389,2021.0,New South Wales
-29.36973,152.84926,2020.0,New South Wales
-31.181154,152.823792,2020.0,New South Wales
-37.300516,149.573695,1992.0,New South Wales
-30.569113,149.115634,2019.0,New South Wales
-30.897792,149.118987,2025.0,New South Wales
-34.20885,150.01118,2013.0,New South Wales
-36.818368,149.57426,,New South Wales
-33.662997,151.32434,2007.0,New South Wales
-30.568425,149.177354,2017.0,New South Wales
-30.32776,150.856609,2022.0,New South Wales
-28.376486,153.055193,2018.0,New South Wales
-34.1,150.6,2016.0,New South Wales
-35.6,150.2,2025.0,New South Wales
-30.635296,149.185391,2020.0,New South Wales
-33.813965,151.006878,2021.0,New South Wales
-32.06324,151.6887,2014.0,New South Wales
-34.127318,150.053946,2024.0,New South Wales
-34.342476,144.56553,2005.0,New South Wales
-37.190724,149.680989,2021.0,New South Wales
-34.5,150.9,2020.0,New South Wales
-34.23517,150.85357,2014.0,New South Wales
-35.58611,150.31927,2013.0,New South Wales
-36.979248,149.192129,,New South Wales
-30.003842,148.096081,1995.0,New South Wales
-29.5,151.6,2016.0,New South Wales
-37.163188,149.400593,2024.0,New South Wales
-36.222367,150.128469,2024.0,New South Wales
-35.855586,147.455498,2021.0,New South Wales
-37.334044,149.597376,2022.0,New South Wales
-30.635471,149.205223,2020.0,New South Wales
-36.54301,149.380799,1991.0,New South Wales
-30.664047,149.154166,2019.0,New South Wales
-33.821917,151.232433,2024.0,New South Wales
-33.771418,142.181219,1996.0,New South Wales
-34.0,150.9,2018.0,New South Wales
-34.671542,150.722472,2025.0,New South Wales
-30.529675,150.110379,2024.0,New South Wales
-31.077272,150.072072,2021.0,New South Wales
-30.525946,149.020186,2017.0,New South Wales
-33.18402,149.14931,2014.0,New South Wales
-35.92395,149.62343,2012.0,New South Wales
