decimalLatitude,decimalLongitude,year,stateProvince
-35.312853,149.065847,2011.0,Australian Capital Territory
-35.268645,149.110688,2023.0,Australian Capital Territory
-35.281602,149.149223,2024.0,Australian Capital Territory
-35.29708,149.129392,2025.0,Australian Capital Territory
-35.400422,148.846854,1990.0,Australian Capital Territory
-35.2278,149.169,2017.0,Australian Capital Territory
-35.2807,149.120483,2017.0,Australian Capital Territory
-35.433333,148.933333,,Australian Capital Territory
-35.2261,149.173,2017.0,Australian Capital Territory
-33.456003,143.322581,2019.0,New South Wales
-32.231375,150.60653,2004.0,New South Wales
-33.55,150.91667,,New South Wales
-33.810865,151.299264,2025.0,New South Wales
-34.315852,150.919245,2022.0,New South Wales
-30.891861,150.982432,2002.0,New South Wales
-33.156387,149.69945,,New South Wales
-29.95866,150.7615,2014.0,New South Wales
-33.55,150.91667,,New South Wales
-32.160246,150.890265,2009.0,New South Wales
-33.255218,143.175038,2019.0,New South Wales
-33.535434,150.906477,1997.0,New South Wales
-31.89162,150.81118,2012.0,New South Wales
-33.80477,151.2911,2019.0,New South Wales
-33.047365,150.039668,2024.0,New South Wales
-35.115336,150.620779,2024.0,New South Wales
-33.811533,151.301092,2021.0,New South Wales
-33.759113,151.132088,2022.0,New South Wales
-33.55,150.91667,,New South Wales
-33.7245,150.917,2015.0,New South Wales
-35.094539,150.601237,2006.0,New South Wales
-33.256389,143.226916,2019.0,New South Wales
-32.263637,147.640606,2000.0,New South Wales
-34.537378,150.594683,2004.0,New South Wales
-33.750663,151.007487,2016.0,New South Wales
-33.150183,143.345167,2019.0,New South Wales
-36.23911,148.37052,2014.0,New South Wales
-33.219099,143.290712,2019.0,New South Wales
-33.468646,151.43457,2021.0,New South Wales
-29.912271,152.09001,1999.0,New South Wales
-33.039319,150.209543,2011.0,New South Wales
-33.815349,151.298585,2020.0,New South Wales
-33.273909,151.460276,2003.0,New South Wales
-33.55,150.91667,,New South Wales
-28.821552,153.463568,2025.0,New South Wales
-34.119131,150.717246,2018.0,New South Wales
-33.26,143.211189,2019.0,New South Wales
-33.81085,151.299258,2022.0,New South Wales
-33.785667,151.206044,2016.0,New South Wales
-33.455288,143.300152,2019.0,New South Wales
-33.820091,151.29847,2021.0,New South Wales
-33.77394,151.135112,2009.0,New South Wales
-35.87163,148.15979,2013.0,New South Wales
-29.709015,144.188121,2022.0,New South Wales
