decimalLatitude,decimalLongitude,year,stateProvince
-28.58545,153.554528,2023.0,New South Wales
-28.44894,153.1432,2015.0,New South Wales
-28.843341,153.454016,2021.0,New South Wales
-28.725875,153.465368,,New South Wales
-28.437,153.1391,2015.0,New South Wales
-29.450496,153.351838,2009.0,New South Wales
-28.664306,153.615858,2024.0,New South Wales
-28.459438,153.190521,2017.0,New South Wales
-28.802339,153.278491,,New South Wales
-28.258512,153.553122,2005.0,New South Wales
-28.777803,153.594257,1994.0,New South Wales
-28.486418,153.54457,,New South Wales
-28.951724,153.43003,1994.0,New South Wales
-28.326007,153.381492,,New South Wales
-29.4446,153.357,2018.0,New South Wales
-28.384072,153.335928,2021.0,New South Wales
-28.357289,153.560715,,New South Wales
-28.44511,153.1946,2014.0,New South Wales
-29.4793,153.363,2013.0,New South Wales
-28.545269,153.110071,2020.0,New South Wales
-32.923831,151.655646,2025.0,New South Wales
-29.434373,153.308034,2009.0,New South Wales
-29.347942,153.234564,2009.0,New South Wales
-28.3896,153.321914,2023.0,New South Wales
-28.671147,153.41183,,New South Wales
-28.730956,153.541422,,New South Wales
-29.153144,153.297683,2021.0,New South Wales
-28.588573,153.516491,1995.0,New South Wales
-28.442791,153.14231,2006.0,New South Wales
-28.4276,153.52,2022.0,New South Wales
-34.025833,151.11389,2014.0,New South Wales
-28.935377,153.007728,,New South Wales
-29.505368,152.82372,2022.0,New South Wales
-28.40388,153.1177,2015.0,New South Wales
-28.588573,153.516491,1989.0,New South Wales
-28.6043,152.9598,2014.0,New South Wales
-29.09883,153.2019,2013.0,New South Wales
-28.44327,153.143,2015.0,New South Wales
-28.58605,153.549278,2023.0,New South Wales
-29.436311,153.309652,2009.0,New South Wales
-29.403188,153.353294,,New South Wales
-28.345983,153.563273,2016.0,New South Wales
-28.620556,153.58583,1995.0,New South Wales
-34.025833,151.11389,2014.0,New South Wales
-28.891248,153.522475,,New South Wales
-29.4789,153.3635,2013.0,New South Wales
-28.303979,153.301948,,New South Wales
-29.556692,153.319527,2025.0,New South Wales
-28.7396,153.079,2021.0,New South Wales
-28.55334,153.298,2017.0,New South Wales
-28.642784,153.275991,,New South Wales
-28.520503,153.432853,2022.0,New South Wales
-28.414413,153.121577,2007.0,New South Wales
-29.129334,153.448405,2025.0,New South Wales
-28.612613,153.493921,,New South Wales
-28.2726,153.405,2021.0,New South Wales
-28.44291,153.1424,2015.0,New South Wales
-28.880539,153.297616,,New South Wales
-28.247834,153.552863,,New South Wales
-29.594171,153.329048,2009.0,New South Wales
-29.44023,153.353194,2009.0,New South Wales
-28.859601,153.403978,,New South Wales
-28.852303,153.287937,2022.0,New South Wales
-28.4361,153.144711,2006.0,New South Wales
-28.43856,153.1441,2014.0,New South Wales
-28.290552,153.343539,,New South Wales
-28.433065,153.128818,2008.0,New South Wales
-34.029892,151.132501,2009.0,New South Wales
-28.823908,153.240985,,New South Wales
-29.359319,153.246404,2009.0,New South Wales
-28.380065,153.366938,2017.0,New South Wales
-29.4301,153.326663,2009.0,New South Wales
-28.5598,153.25,2023.0,New South Wales
-28.32808,153.3942,2013.0,New South Wales
-28.64776,153.5501,2014.0,New South Wales
-29.426737,153.334665,,New South Wales
-28.179851,153.516547,2008.0,New South Wales
-28.447445,153.144501,2018.0,New South Wales
-28.354668,153.230662,1994.0,New South Wales
-28.40421,153.1204,2015.0,New South Wales
-28.827597,153.536659,,New South Wales
-29.3581,153.274114,2009.0,New South Wales
-28.64097,153.3599,2014.0,New South Wales
-28.7984,153.299,2020.0,New South Wales
-28.92334,153.440062,,New South Wales
-28.743983,153.263359,,New South Wales
-28.792284,153.585118,1989.0,New South Wales
-29.341205,153.239028,2009.0,New South Wales
-29.483304,153.363484,2009.0,New South Wales
-29.472439,153.357431,2009.0,New South Wales
-28.736702,153.463822,,New South Wales
-28.449322,152.999205,2024.0,New South Wales
-28.58819,152.9424,2014.0,New South Wales
-28.43339,153.135,2015.0,New South Wales
-28.588573,153.516491,1987.0,New South Wales
-28.3732,153.5556,2013.0,New South Wales
-28.5865,153.498,2020.0,New South Wales
-28.317606,153.260164,1994.0,New South Wales
-28.7984,153.299,2020.0,New South Wales
-28.839613,153.492018,,New South Wales
-28.687922,153.315938,,New South Wales
-29.076,153.026,2020.0,New South Wales
-28.603175,153.51877,2023.0,New South Wales
-28.399175,153.334974,,New South Wales
-33.740083,150.904214,1998.0,New South Wales
-28.971812,152.710905,2021.0,New South Wales
-28.628334,153.58945,1995.0,New South Wales
-28.386412,153.55699,2022.0,New South Wales
-28.316608,153.551029,,New South Wales
-29.436516,153.28338,2009.0,New South Wales
-28.258097,153.56842,2018.0,New South Wales
-28.502705,153.546727,1994.0,New South Wales
