year,stateProvince,decimalLatitude,decimalLongitude,vernacularName,species
2021,Victoria,-38.31304,145.44167,Cat,Felis catus
2007,Victoria,-38.78757,143.53817,Cat,Felis catus
1997,Victoria,-38.11712,145.18576,Cat,Felis catus
2017,Victoria,-37.56793,149.17403,Cat,Felis catus
1980,Victoria,-38.12353,141.7097,Cat,Felis catus
1989,Victoria,-37.34926,146.14035,Cat,Felis catus
2017,Victoria,-37.57503,148.42112,Cat,Felis catus
2021,Victoria,-38.37067,145.37519,Cat,Felis catus
2017,Victoria,-38.48611,143.84028,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2021,Victoria,-37.53581,146.15744,Cat,Felis catus
2018,Victoria,-38.77403,143.51402,Cat,Felis catus
2019,Victoria,-37.98324,145.87946,Cat,Felis catus
2021,Victoria,-38.31039,145.30188,Cat,Felis catus
2022,Victoria,-37.55544,145.62373,Cat,Felis catus
2019,Victoria,-38.89305,146.24692,Cat,Felis catus
2021,Victoria,-38.32744,145.37457,Cat,Felis catus
2004,Victoria,-36.60247,145.97317,Cat,Felis catus
2019,Victoria,-38.3162,145.44216,Cat,Felis catus
2008,Victoria,-37.6214,147.6476,Cat,Felis catus
2008,Victoria,-38.44612,146.57461,Cat,Felis catus
2021,Victoria,-37.55298,148.83427,Cat,Felis catus
1979,Victoria,-38.2902,141.54304,Cat,Felis catus
2018,Victoria,-37.53986,149.00089,Cat,Felis catus
2003,Victoria,-37.16903,142.34909,Cat,Felis catus
2007,Victoria,-38.79179,143.55043,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2016,Victoria,-37.872,145.97853,Cat,Felis catus
2009,Victoria,-38.0321,140.99027,Cat,Felis catus
2019,Victoria,-38.04026,141.16898,Cat,Felis catus
1992,Victoria,-37.87349,145.37631,Cat,Felis catus
2002,Victoria,-38.16813,145.10574,Cat,Felis catus
1977,Victoria,-38.62349,146.04298,Cat,Felis catus
2019,Victoria,-38.33146,145.32268,Cat,Felis catus
2007,Victoria,-37.62056,142.36306,Cat,Felis catus
2007,Victoria,-38.57387,143.8065,Cat,Felis catus
2020,Victoria,-37.83426,146.36765,Cat,Felis catus
2012,Victoria,-37.6988,146.35143,Cat,Felis catus
2020,Victoria,-37.2419,142.36272,Cat,Felis catus
2022,Victoria,-37.33887,148.31669,Cat,Felis catus
2016,Victoria,-37.56585,145.08827,Cat,Felis catus
2017,Victoria,-37.63248,148.20247,Cat,Felis catus
2020,Victoria,-37.38336,147.59028,Cat,Felis catus
2022,Victoria,-37.59285,146.16155,Cat,Felis catus
1984,Victoria,-37.86948,145.45106,Cat,Felis catus
2021,Victoria,-38.29,145.3035,Cat,Felis catus
2017,Victoria,-36.8827,145.88139,Cat,Felis catus
1983,Victoria,-36.83925,146.16516,Cat,Felis catus
2020,Victoria,-36.92271,146.81043,Cat,Felis catus
1999,Victoria,-36.20389,146.95397,Cat,Felis catus
2003,Victoria,-37.81281,144.98195,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
1989,Victoria,-37.16851,145.15238,Cat,Felis catus
2015,Victoria,-37.42015,146.7835,Cat,Felis catus
2021,Victoria,-36.99779,148.40522,Cat,Felis catus
2003,Victoria,-38.34729,144.9878,Cat,Felis catus
1986,Victoria,-37.19016,144.49298,Cat,Felis catus
1997,Victoria,-36.20389,146.95397,Cat,Felis catus
2022,Victoria,-37.50653,149.35995,Cat,Felis catus
2014,Victoria,-37.5659,145.34301,Cat,Felis catus
1990,Victoria,-37.78028,148.91525,Cat,Felis catus
2020,Victoria,-37.2489,144.0679,Cat,Felis catus
2019,Victoria,-38.35749,145.27389,Cat,Felis catus
2019,Victoria,-38.18161,141.6622,Cat,Felis catus
1977,Victoria,-37.79013,147.45961,Cat,Felis catus
2020,Victoria,-36.9896,147.14781,Cat,Felis catus
2016,Victoria,-37.22868,148.87483,Cat,Felis catus
2019,Victoria,-38.0166,141.56326,Cat,Felis catus
2023,Victoria,-37.4016,146.75384,Cat,Felis catus
2009,Victoria,-37.8997,144.7015,Cat,Felis catus
2021,Victoria,-38.36599,145.43247,Cat,Felis catus
1993,Victoria,-37.4235,144.54299,Cat,Felis catus
2020,Victoria,-37.56406,146.15438,Cat,Felis catus
2014,Victoria,-37.4207,144.6754,Cat,Felis catus
2020,Victoria,-37.45614,142.41553,Cat,Felis catus
2018,Victoria,-38.2257,144.5708,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2021,Victoria,-37.9867,145.4148,Cat,Felis catus
1983,Victoria,-36.87346,147.54293,Cat,Felis catus
2017,Victoria,-37.35899,147.72893,Cat,Felis catus
2016,Victoria,-37.99053,140.98415,Cat,Felis catus
2014,Victoria,-37.2138,144.8884,Cat,Felis catus
2022,Victoria,-37.05232,146.72599,Cat,Felis catus
1991,Victoria,-35.9089,144.35999,Cat,Felis catus
1996,Victoria,-36.9742,146.01314,Cat,Felis catus
2022,Victoria,-36.78169,147.015,Cat,Felis catus
2012,Victoria,-37.34762,148.31548,Cat,Felis catus
2006,Victoria,-37.2685,149.01288,Cat,Felis catus
2006,Victoria,-37.32657,149.27411,Cat,Felis catus
2012,Victoria,-38.5049,143.9853,Cat,Felis catus
2011,Victoria,-38.20409,145.33008,Cat,Felis catus
2020,Victoria,-36.70025,147.331,Cat,Felis catus
2008,Victoria,-37.6202,147.611,Cat,Felis catus
2017,Victoria,-37.4496,146.74134,Cat,Felis catus
2021,Victoria,-38.35325,145.4628,Cat,Felis catus
2011,Victoria,-38.4534,143.9353,Cat,Felis catus
2012,Victoria,-37.6753,145.72867,Cat,Felis catus
2020,Victoria,-36.6531,147.99535,Cat,Felis catus
2017,Victoria,-37.30649,147.48753,Cat,Felis catus
2017,Victoria,-37.9034,145.44315,Cat,Felis catus
2019,Victoria,-37.40362,148.56904,Cat,Felis catus
2011,Victoria,-38.3518,144.1378,Cat,Felis catus
2017,Victoria,-37.34492,147.70194,Cat,Felis catus
2020,Victoria,-37.96331,145.597,Cat,Felis catus
2020,Victoria,-37.45614,142.41553,Cat,Felis catus
2008,Victoria,-37.668,147.5955,Cat,Felis catus
2010,Victoria,-38.23083,145.28944,Cat,Felis catus
2007,Victoria,-38.3418,144.98765,Cat,Felis catus
1992,Victoria,-36.12982,144.36483,Cat,Felis catus
2014,Victoria,-37.93216,141.51308,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2016,Victoria,-37.5659,145.34301,Cat,Felis catus
1977,Victoria,-37.87347,147.54295,Cat,Felis catus
2000,Victoria,-38.3871,142.22486,Cat,Felis catus
2021,Victoria,-38.38391,145.35037,Cat,Felis catus
2022,Victoria,-37.34342,148.30359,Cat,Felis catus
2006,Victoria,-37.70981,144.04455,Cat,Felis catus
2022,Victoria,-37.83619,145.71058,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2016,Victoria,-37.3905,145.80362,Cat,Felis catus
2018,Victoria,-38.3162,145.44216,Cat,Felis catus
2013,Victoria,-38.00069,141.0464,Cat,Felis catus
2004,Victoria,-36.57818,145.97909,Cat,Felis catus
2016,Victoria,-36.87761,148.21868,Cat,Felis catus
1988,Victoria,-37.7235,144.82632,Cat,Felis catus
2022,Victoria,-37.82948,145.71292,Cat,Felis catus
1999,Victoria,-38.31876,145.1716,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2013,Victoria,-37.4723,145.65608,Cat,Felis catus
2019,Victoria,-37.55316,149.3101,Cat,Felis catus
2019,Victoria,-37.43271,146.39194,Cat,Felis catus
2017,Victoria,-37.65191,149.39791,Cat,Felis catus
2003,Victoria,-37.9459,145.65544,Cat,Felis catus
2008,Victoria,-37.4055,146.74826,Cat,Felis catus
2020,Victoria,-37.10267,142.30762,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2008,Victoria,-37.39614,146.75423,Cat,Felis catus
2001,Victoria,-37.07347,146.42628,Cat,Felis catus
2016,Victoria,-37.4754,149.54968,Cat,Felis catus
2019,Victoria,-36.977,144.0247,Cat,Felis catus
2022,Victoria,-37.562,145.07916,Cat,Felis catus
2020,Victoria,-36.69,145.82611,Cat,Felis catus
1996,Victoria,-37.19379,145.33766,Cat,Felis catus
1990,Victoria,-37.7837,148.81315,Cat,Felis catus
2021,Victoria,-38.40836,145.3269,Cat,Felis catus
2012,Victoria,-38.4622,144.87738,Cat,Felis catus
2020,Victoria,-37.11812,142.42753,Cat,Felis catus
1994,Victoria,-38.2735,145.04299,Cat,Felis catus
2019,Victoria,-37.20497,147.88664,Cat,Felis catus
2021,Victoria,-38.0886,147.47449,Cat,Felis catus
2020,Victoria,-37.7128,148.94371,Cat,Felis catus
2018,Victoria,-38.45465,144.04349,Cat,Felis catus
2018,Victoria,-37.80003,145.3351,Cat,Felis catus
2019,Victoria,-37.6875,145.1956,Cat,Felis catus
2014,Victoria,-38.0206,141.10992,Cat,Felis catus
2015,Victoria,-37.5778,145.70297,Cat,Felis catus
2013,Victoria,-38.008,145.66161,Cat,Felis catus
2020,Victoria,-37.11812,142.42753,Cat,Felis catus
2020,Victoria,-37.32918,148.63762,Cat,Felis catus
1971,Victoria,-37.79011,149.54291,Cat,Felis catus
1995,Victoria,-36.20389,146.95397,Cat,Felis catus
2011,Victoria,-37.2947,145.26107,Cat,Felis catus
2016,Victoria,-37.39283,148.7681,Cat,Felis catus
2011,Victoria,-37.6189,148.83819,Cat,Felis catus
1991,Victoria,-37.63244,148.74374,Cat,Felis catus
2021,Victoria,-37.9321,140.21795,Cat,Felis catus
2008,Victoria,-37.76629,146.66804,Cat,Felis catus
2021,Victoria,-38.32683,145.41867,Cat,Felis catus
2016,Victoria,-37.23284,148.89511,Cat,Felis catus
2019,Victoria,-37.65454,148.82396,Cat,Felis catus
2020,Victoria,-37.3951,149.62008,Cat,Felis catus
2010,Victoria,-38.21881,145.3137,Cat,Felis catus
2021,Victoria,-37.00106,147.1803,Cat,Felis catus
2021,Victoria,-38.39078,145.3491,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2015,Victoria,-37.4935,145.51774,Cat,Felis catus
1986,Victoria,-35.98559,141.69747,Cat,Felis catus
2010,Victoria,-38.37083,145.00083,Cat,Felis catus
2017,Victoria,-38.00069,141.0464,Cat,Felis catus
2005,Victoria,-37.83711,144.66661,Cat,Felis catus
2021,Victoria,-38.37479,145.40206,Cat,Felis catus
1989,Victoria,-37.40422,145.24264,Cat,Felis catus
2021,Victoria,-38.34245,145.40869,Cat,Felis catus
2022,Victoria,-37.30096,145.16045,Cat,Felis catus
2018,Victoria,-37.48946,149.03531,Cat,Felis catus
1990,Victoria,-38.27121,144.76701,Cat,Felis catus
2014,Victoria,-38.006,145.39504,Cat,Felis catus
2023,Victoria,-37.59048,146.25252,Cat,Felis catus
2020,Victoria,-37.24914,142.60793,Cat,Felis catus
2004,Victoria,-37.77953,149.30922,Cat,Felis catus
2019,Victoria,-38.36686,145.43459,Cat,Felis catus
2021,Victoria,-38.34778,145.46957,Cat,Felis catus
2018,Victoria,-38.15916,141.44907,Cat,Felis catus
2023,Victoria,-37.64456,146.19489,Cat,Felis catus
1994,Victoria,-37.58435,148.99176,Cat,Felis catus
1993,Victoria,-37.79865,145.55022,Cat,Felis catus
2011,Victoria,-38.3518,144.1378,Cat,Felis catus
2004,Victoria,-37.37528,142.28162,Cat,Felis catus
1978,Victoria,-37.79013,147.45961,Cat,Felis catus
2009,Victoria,-37.7418,144.75101,Cat,Felis catus
2021,Victoria,-38.39357,145.39256,Cat,Felis catus
2019,Victoria,-37.17858,148.05819,Cat,Felis catus
2013,Victoria,-38.1794,141.51315,Cat,Felis catus
2014,Victoria,-38.19937,145.47108,Cat,Felis catus
1999,Victoria,-37.21316,142.27099,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2013,Victoria,-37.92395,141.51707,Cat,Felis catus
2015,Victoria,-38.03162,141.17033,Cat,Felis catus
2020,Victoria,-37.88266,146.39017,Cat,Felis catus
2016,Victoria,-34.68209,142.36617,Cat,Felis catus
2018,Victoria,-38.1339,145.6587,Cat,Felis catus
2006,Victoria,-38.5265,146.58457,Cat,Felis catus
2010,Victoria,-38.4186,143.21889,Cat,Felis catus
2020,Victoria,-37.45614,142.41553,Cat,Felis catus
2021,Victoria,-38.30483,145.30286,Cat,Felis catus
2021,Victoria,-38.31196,145.42312,Cat,Felis catus
2016,Victoria,-37.59109,148.72427,Cat,Felis catus
2020,Victoria,-37.05674,148.42638,Cat,Felis catus
2020,Victoria,-37.2891,148.09954,Cat,Felis catus
2016,Victoria,-37.79271,144.61726,Cat,Felis catus
2018,Victoria,-38.33798,145.4834,Cat,Felis catus
2022,Victoria,-37.68333,148.54114,Cat,Felis catus
2020,Victoria,-36.84861,145.91333,Cat,Felis catus
2021,Victoria,-38.40529,145.38525,Cat,Felis catus
1981,Victoria,-38.27009,145.99014,Cat,Felis catus
1998,Victoria,-37.64252,148.73264,Cat,Felis catus
2021,Victoria,-38.37067,145.3751,Cat,Felis catus
2020,Victoria,-37.10267,142.30762,Cat,Felis catus
2015,Victoria,-38.418,144.8692,Cat,Felis catus
2017,Victoria,-37.58893,148.80709,Cat,Felis catus
2017,Victoria,-36.96031,148.29732,Cat,Felis catus
2012,Victoria,-37.32033,148.32622,Cat,Felis catus
2004,Victoria,-36.69852,147.27609,Cat,Felis catus
2014,Victoria,-37.90325,141.43262,Cat,Felis catus
2019,Victoria,-38.33334,145.43124,Cat,Felis catus
2015,Victoria,-38.91784,146.26992,Cat,Felis catus
2013,Victoria,-37.2207,145.043,Cat,Felis catus
2020,Victoria,-37.10267,142.30762,Cat,Felis catus
2019,Victoria,-38.36892,145.41111,Cat,Felis catus
1980,Victoria,-38.0402,141.32637,Cat,Felis catus
2019,Victoria,-38.89305,146.24692,Cat,Felis catus
2015,Victoria,-37.4567,145.19612,Cat,Felis catus
2019,Victoria,-37.8832,145.73648,Cat,Felis catus
2023,Victoria,-37.4016,146.75384,Cat,Felis catus
1996,Victoria,-38.1256,145.43,Cat,Felis catus
2020,Victoria,-36.98082,148.47957,Cat,Felis catus
2021,Victoria,-38.34281,145.48733,Cat,Felis catus
2016,Victoria,-37.27163,148.89314,Cat,Felis catus
2016,Victoria,-38.15916,141.44907,Cat,Felis catus
2021,Victoria,-38.29588,145.303,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2017,Victoria,-36.92316,148.39843,Cat,Felis catus
2009,Victoria,-37.9942,141.02713,Cat,Felis catus
2018,Victoria,-37.92495,144.48116,Cat,Felis catus
2019,Victoria,-38.40769,145.27184,Cat,Felis catus
2020,Victoria,-37.22537,142.55058,Cat,Felis catus
1998,Victoria,-37.029,146.59819,Cat,Felis catus
1994,Victoria,-38.42585,145.54693,Cat,Felis catus
2006,Victoria,-38.3652,144.86775,Cat,Felis catus
2003,Victoria,-38.34421,144.96614,Cat,Felis catus
1974,Victoria,-37.47347,147.25961,Cat,Felis catus
2023,Victoria,-37.59821,145.98555,Cat,Felis catus
2020,Victoria,-36.97324,146.88641,Cat,Felis catus
2020,Victoria,-37.22537,142.55058,Cat,Felis catus
2013,Victoria,-38.1911,141.68973,Cat,Felis catus
2013,Victoria,-38.01135,140.99592,Cat,Felis catus
2021,Victoria,-38.39636,145.2905,Cat,Felis catus
2011,Victoria,-38.384,144.146,Cat,Felis catus
1993,Victoria,-37.5685,149.27099,Cat,Felis catus
2005,Victoria,-38.34738,141.49751,Cat,Felis catus
2012,Victoria,-38.19959,145.19296,Cat,Felis catus
2019,Victoria,-36.95078,147.37104,Cat,Felis catus
2023,Victoria,-37.94299,145.6309,Cat,Felis catus
1991,Victoria,-38.29177,146.59819,Cat,Felis catus
2016,Victoria,-37.3976,145.31085,Cat,Felis catus
1978,Victoria,-38.37348,146.29298,Cat,Felis catus
2017,Victoria,-37.27018,147.51485,Cat,Felis catus
2021,Victoria,-38.3476,145.35508,Cat,Felis catus
2017,Victoria,-37.48861,149.04815,Cat,Felis catus
2020,Victoria,-37.22537,142.55058,Cat,Felis catus
2021,Victoria,-36.96274,148.27475,Cat,Felis catus
2006,Victoria,-37.2777,148.97993,Cat,Felis catus
2003,Victoria,-37.5641,145.4412,Cat,Felis catus
2020,Victoria,-36.99454,147.17397,Cat,Felis catus
1979,Victoria,-37.25679,148.45959,Cat,Felis catus
2011,Victoria,-36.2821,142.5603,Cat,Felis catus
2022,Victoria,-36.83083,147.58066,Cat,Felis catus
2012,Victoria,-37.71443,146.07121,Cat,Felis catus
2019,Victoria,-38.8943,146.25422,Cat,Felis catus
2012,Victoria,-37.3077,148.30402,Cat,Felis catus
2016,Victoria,-37.2908,148.64127,Cat,Felis catus
2020,Victoria,-37.36558,142.47861,Cat,Felis catus
2023,Victoria,-37.73966,146.03632,Cat,Felis catus
2016,Victoria,-37.85601,144.1732,Cat,Felis catus
